,Task/Intent,command
775,System Information,Give me the system summary
776,Battery Management,Can you check the battery level?
777,Task Management,Can you show me the running processes?
778,File Management,Can you show my directories?
779,File Search,Can you locate a file on my PC?
780,Internet Connectivity,How is my WiFi connection?
781,Software Installation,Please help me install this application
782,Application Control,I need to open Firefox
783,System Settings,Please display the system settings
784,Shutdown/Restart,Please shut down the system
825,Opening/Closing Apps,Launch the audio player
826,Opening/Closing Apps,Quit Firefox
827,File Browsing,Open my documents directory
828,File Browsing,Can you transfer this file to the Docs?
829,Command Line Operations,What files are in this folder?
830,File Permissions,Allow editing of this file
831,Creating/Editing Files,Start a new document
832,Package Management,Install VLC on my computer
833,Package Management,Delete the Spotify app from my system
834,System Updates,Can you check for software updates?
835,System Updates,Run the upgrade command
836,Managing Users and Groups,Set up an account for a new user
837,Managing Users and Groups,Can you remove the profile for John?
838,System Logs,Check the logs from the last session
839,Disk Management,List all available partitions
840,Open Applications,Start the terminal
841,System Settings,Open the device manager
842,File Management,Open the downloads folder
843,Web Browsing,Please open Bing
844,Media Control,Turn on my favorite track
845,System Shutdown,Shut down all programs and turn off
846,System Information,Can you list the system details?
847,File Search,Locate a PDF document for me
848,Network Management,Access network preferences
849,Software Installation,Install this app from the store
850,System Information,I need my computer's information
851,Battery Management,What is the current battery level?
852,Task Management,Show me the open applications
853,File Management,Open the file browser
854,File Search,Search for the word 'report' in my documents
855,Internet Connectivity,Check if the WiFi is on
856,Software Installation,I need a new application installed
857,Application Control,Can you open Firefox?
858,System Settings,Show me the system settings
859,Shutdown/Restart,Can you shut down and restart?
860,Network Management,Open up the network configuration
861,Web Browsing,Please load a webpage
862,Task Management,Give me a list of tasks
863,System Updates,Can you check for the latest updates?
864,File Backup,Ensure my files are backed up
865,System Troubleshooting,Diagnose system performance problems
866,System Monitoring,How much memory is being used?
867,File Compression,Zip these files into one archive
868,Cloud Storage,Please put this data on the cloud
869,Application Control,Can you exit Spotify?
870,System Restart,Reboot my system now
871,Device Management,Can you display my hardware devices?
872,Printer Management,Please show the printer options
873,Keyboard Shortcuts,Give me the list of system hotkeys
874,Clipboard Management,What’s in my copy-paste history?
875,Screen Capture,I need to take a picture of my monitor
876,System Time,Please show the current time on the system
877,Taskbar Management,I want to change the taskbar options
878,Network Troubleshooting,Diagnose network issues for me
879,Cloud Backup,I need to copy my files online
880,System Information,I want to know the details about my system
881,Battery Management,How much power is left in my battery?
882,Task Management,Tell me what is currently open on my system
883,File Management,I need to access my documents
884,File Search,Please search my system for files
885,Internet Connectivity,Can you tell me if I’m online?
886,Software Installation,Install this from the internet
887,Application Control,Can you run the word processor?
888,System Settings,Take me to the configuration settings
889,Shutdown/Restart,Restart the machine for me
930,Opening/Closing Apps,Please play some music
931,Opening/Closing Apps,Exit from the web browser
932,File Browsing,Please open the Downloads folder
933,File Browsing,Move this file to the specified location
934,Command Line Operations,Can you show me what’s inside this directory?
935,File Permissions,Make this file writable
936,Creating/Editing Files,Can you open a text editor and create a file?
937,Package Management,Add VLC package to my setup
938,Package Management,Uninstall the music app
939,System Updates,Install the latest system update
940,System Updates,Apply all available upgrades
941,Managing Users and Groups,Please make a new account for me
942,Managing Users and Groups,Purge John’s account from the system
943,System Logs,Can you display my error log?
944,Disk Management,Show me the partition layout
945,Open Applications,Can you open the calculator?
946,System Settings,Launch network settings
947,File Management,Go to my pictures directory
948,Web Browsing,Go to the website I want
949,Media Control,Start music from Spotify
950,System Shutdown,Can you switch off the computer?
951,System Information,Give me a rundown of the system
952,File Search,Please find a specific file
953,Network Management,Show me network connections
954,Software Installation,Can you download and install software?
955,System Information,What is my system setup?
956,Battery Management,I need to know if my battery is low
957,Task Management,Check what’s running on my system
958,File Management,Show me the file explorer
959,File Search,Please look for a text file
960,Internet Connectivity,Can you verify the internet connection?
961,Software Installation,Install this package
962,Application Control,Please launch my browser
963,System Settings,Go to preferences
964,Shutdown/Restart,I need to restart my PC
965,Network Management,Please manage my internet connection
966,Web Browsing,Start a browsing session
967,Task Management,Can you list the active programs?
968,System Updates,Please check the updates for me
969,File Backup,Start a backup process
970,System Troubleshooting,Check for hardware or software issues
971,System Monitoring,Track system performance for me
972,File Compression,Make a .zip file of my documents
973,Cloud Storage,Can you save my documents to OneDrive?
974,Application Control,Please close the file manager
975,System Restart,Please restart everything
976,Device Management,Manage the external devices
977,Printer Management,Can you check the printer queue?
978,Keyboard Shortcuts,What are the most common keyboard shortcuts?
979,Clipboard Management,Show me what I copied
980,Screen Capture,Can you record the screen for me?
981,System Time,What is the time on my machine?
982,Taskbar Management,Can you show me the taskbar setup?
983,Network Troubleshooting,Is there an issue with my WiFi?
984,Cloud Backup,Please upload my pictures to the cloud
985,System Information,Can you check the system info for me?
986,Battery Management,Check my laptop’s battery status
987,Task Management,Please display my running applications
988,File Management,Open my file explorer
989,File Search,I need help locating a file
990,Internet Connectivity,Check my connection speed
991,Software Installation,Can you run the installer for me?
992,Application Control,Start up my favorite app
993,System Settings,Can you show the preferences menu?
1035,Opening/Closing Apps,Can you start the song app?
1036,Opening/Closing Apps,Stop the Firefox application
1037,File Browsing,Can you display the directory for my files?
1038,File Browsing,Place the document in my folders
1039,Command Line Operations,Run a list of files in the folder
1040,File Permissions,Change the permissions of the file to allow modification
1041,Creating/Editing Files,Please launch Gedit and create a file
1042,Package Management,Download and install VLC media player
1043,Package Management,Remove Spotify from my system setup
1044,System Updates,Can you fetch the newest updates?
1045,System Updates,Update all software packages
1046,Managing Users and Groups,Can you create a fresh user profile?
1047,Managing Users and Groups,Delete the John user profile
1048,System Logs,Show me the log from my last system boot
1049,Disk Management,Can you show my disk drives?
1140,Opening/Closing Apps,Please open the music player for me
1141,Opening/Closing Apps,Can you close Chrome?
1142,File Browsing,Take me to my home directory
1143,File Browsing,Transfer the file to Documents
1144,Command Line Operations,List all contents of this folder
1145,File Permissions,Give me full access to this file
1146,Creating/Editing Files,Create a blank document
1147,Package Management,Install the VLC software
1148,Package Management,Can you get rid of the Spotify package?
1149,System Updates,Check for the latest software version
1150,System Updates,Can you install the latest system updates?
1151,Managing Users and Groups,Add a new user to the system
1152,Managing Users and Groups,Can you remove the account named John?
1153,System Logs,Look at the log file entries
1154,Disk Management,Please list the partitions on my system
1245,Opening/Closing Apps,Start the audio application
1246,Opening/Closing Apps,Terminate the browser app
1247,File Browsing,Show me the contents of my folders
1248,File Browsing,Please copy this document to Downloads
1249,Command Line Operations,Can you display the files in this directory?
1250,File Permissions,Can you set full read-write permissions?
1251,Creating/Editing Files,Open up a new editing session
1252,Package Management,Can you install the VLC tool for me?
1253,Package Management,Purge the Spotify application from my setup
1254,System Updates,Update my system setup
1255,System Updates,Upgrade my packages to the latest version
1256,Managing Users and Groups,Create an additional user on my system
1257,Managing Users and Groups,Can you delete John from the system for me?
1258,System Logs,Display the system error logs
1259,Disk Management,Can you check my hard drive space?
1350,Opening/Closing Apps,Open up the music app
1351,Opening/Closing Apps,Please close the web browser
1352,File Browsing,Can you show me the file tree?
1353,File Browsing,Put the file in the Pictures directory
1354,Command Line Operations,Show me the contents of the folder
1355,File Permissions,Change the file permissions to full access
1356,Creating/Editing Files,Can you start a new text file?
1357,Package Management,Please install the latest version of VLC
1358,Package Management,Uninstall Spotify from my computer
1359,System Updates,Run the system update process
1360,System Updates,Run the upgrade for all my apps
1361,Managing Users and Groups,Set up a new user account
1362,Managing Users and Groups,Please get rid of the user named John
1363,System Logs,Can you show me the logs for today?
1364,Disk Management,List the partitions on my disk
1455,Opening/Closing Apps,Please run the VLC player
1456,Opening/Closing Apps,Exit the browser window
1457,File Browsing,Open the user directory
1459,Command Line Operations,Run the command to show directory contents
1460,File Permissions,Make this file editable for me
1461,Creating/Editing Files,Create a new file in the editor
1462,Package Management,Fetch VLC and install it
1463,Package Management,I want to delete the Spotify software
1464,System Updates,Please apply the latest patches
1465,System Updates,Can you update all packages for me?
1466,Managing Users and Groups,Please set up a new user profile
1467,Managing Users and Groups,I want John’s account gone
1468,System Logs,Please list the system logs
1469,Disk Management,Show all disk partitions
